Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 12/21  02:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06654905124298,-18.250760478983485,-18.94003336472784,-18.781593169530994,-19.146411704359548 
 12/21  03:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06656457570985,-18.250761165765224,-18.940043167699629,-18.781597176175184,-19.146428021331848 
 12/21  03:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066580033795554,-18.25076184961037,-18.94005292876639,-18.781601165693617,-19.146444268575629 
 12/21  03:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066595425783807,-18.250762530531483,-18.940062648100708,-18.78160513815223,-19.146460446388514 
 12/21  03:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066610751957098,-18.250763208541057,-18.940072325885354,-18.781609093630097,-19.14647655506687 
 12/21  04:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066626012596708,-18.250763883651524,-18.940081962299617,-18.78161303219855,-19.14649259490582 
 12/21  04:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066641207982717,-18.25076455587527,-18.94009155751229,-18.78161695392771,-19.146508566199214 
 12/21  04:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066656338394055,-18.250765225224673,-18.940101111703485,-18.78162085888863,-19.146524469239649 
 12/21  04:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066671404108367,-18.250765891711965,-18.940110625048989,-18.78162474715458,-19.146540304318476 
 12/21  05:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.066686405402213,-18.250766555349416,-18.940120097725925,-18.781628618799773,-19.14655607172583 
